restaurant_id,restaurant_name,rating,review_count,locality,street_address,categories
fBPCtEhEEHX2xAfNY3aJNw,I Love Teriyaki,4,20,Seattle,3409 Stone Way N,"[u'Japanese', u'Restaurants']"
WY6hos_I4SGiuKINsUHzTA,I Luv Teriyaki,3.5,35,Seattle,6500 4th Ave S,"[u'Japanese', u'Restaurants']"
WwAan2HA-sPa6pAv6YSriA,I Love Sushi,4,250,Seattle,1001 Fairview Ave N,"[u'Food', u'Food Delivery Services', u'Japanese', u'Sushi Bars', u'Restaurants']"
Q747UU2PKhPxZ109GqdnDA,I Love Wasabi,3.5,51,Seattle,420 Broadway E,"[u'Japanese', u'Sushi Bars', u'Restaurants']"
-5Ht-pnBhahGy5TBJ_Zn1Q,iBurger & Shake,3.5,39,Seattle,8000 Lake City Way NE,"[u'Burgers', u'Restaurants']"
8KHg5YcX5TAUDZFUyKlm7g,Ichiban,4,20,Seattle,601 S Main St,"[u'Japanese', u'Restaurants']"
o0VaM7OHWzTF0lzKPbpE7A,Ichiro Sushi and Teriyaki,4,70,Seattle,2434 32nd Ave W,"[u'Japanese', u'Sushi Bars', u'Restaurants']"
eAtgP6XcUjRVK8dh8foZdQ,Ichiro Teriyaki,2.5,55,Seattle,4124 University Way NE,"[u'Korean', u'Japanese', u'Restaurants']"
TETD84VFy3dh6xrZREHyxQ,Ichiroll & Wok Teriyaki,4,17,Seattle,306 N 125th St,"[u'Japanese', u'Sushi Bars', u'Restaurants']"
UsscDBri4wpITCJHEepEfg,Icon Grill,3.5,409,Seattle,1933 5th Ave,"[u'American (New)', u'Restaurants']"
7grYwYcWUxGYtKRsRwCbzw,IHOP,3,70,Seattle,950 E Madison St,"[u'American (Traditional)', u'Breakfast & Brunch', u'Restaurants']"
Ivv25EbBnnpIVAs-1xxQ7w,IHOP,2.5,39,Seattle,10002 Aurora Ave N,"[u'American (Traditional)', u'Breakfast & Brunch', u'Restaurants']"
gHAFhehWsEXufr-V6xj9JA,Il Forno,3.5,15,Seattle,1356 E Olive Way,"[u'Pizza', u'Restaurants']"
AmLxeVoTBHlHl4MLSX_07A,Il Giardino,3,13,Seattle,716 NW 65th St,"[u'Italian', u'Restaurants']"
67QmiVYdCbG4PRmF61A5bw,Il Corvo Pasta,4.5,87,Seattle,217 James St.,"[u'Italian', u'Restaurants']"
rbjjAfKbeR9xniV-4lZMNw,Il Fornaio,3.5,242,Seattle,600 Pine St,"[u'Food', u'Bakeries', u'Delis', u'Italian', u'Restaurants']"
1yBl7rAXsGRKyv9XYUOKng,IL Bistro,4,270,Seattle,93 Pike St,"[u'Bars', u'Italian', u'Nightlife', u'Lounges', u'Restaurants']"
lVSi-ilqM8FzT_HnK7cQ4A,Il Terrazzo Carmine,4.5,156,Seattle,411 1st Ave S,"[u'Italian', u'Restaurants']"
d6S_AgOYhWh3wWlCqP0_KQ,Joule,4,206,Seattle,3506 Stone Way N,"[u'Asian Fusion', u'Korean', u'Restaurants']"
022rEoLRWRpobJtoTM6bTQ,Joy Teriyaki,3.5,18,Seattle,12334 Lake City Way NE,"[u'Mongolian', u'Japanese', u'Restaurants']"
GqJX2XDimTGbW2bjv49irA,Joy Palace Seafood Restaurant,3.5,82,Seattle,6030 Martin Luther King Jr Way S,"[u'Dim Sum', u'Seafood', u'Cantonese', u'Chinese', u'Restaurants']"
xMcx0WUi5XU92TF5LO3XoA,Jr Sprints Cafe,3.5,15,Seattle,304 Union St,"[u'Delis', u'Sandwiches', u'Restaurants']"
twtd7lKe_zyQrs5AixhlfQ,Juan Colorado,3.5,9,Seattle,8709 14th Ave S,"[u'Mexican', u'Restaurants']"
QRKvDfm_yMk3585a8dpAtQ,Juan Oriley's,2,1,Seattle,309 1st Ave S,[u'Restaurants']
uSBSFd_VDQAI2-IqIsWF_g,Judkins St Cafe,4,55,Seattle,2608 S Judkins St,"[u'Breakfast & Brunch', u'Burgers', u'American (New)', u'Restaurants']"
bfkoS6M0LFiA0vxU1bldkA,Jugos Y Tortas South Park,5,1,Seattle,8525 14th Ave S,"[u'Food', u'Juice Bars & Smoothies', u'Sandwiches', u'Restaurants']"
XPJ3zTaQxnlx1k0IVRfzIw,Judy Fu's Snappy Dragon,3.5,356,Seattle,8917 Roosevelt Way NE,"[u'Asian Fusion', u'Chinese', u'Restaurants']"
v7fgBZ8zmp0onEHpAjMrpA,Juice Plant,2.5,2,Seattle,1420 5th Avenue Lbby,[u'Restaurants']
x9hwbKdYqrDRQoN98if33A,Julia's,2.5,45,Seattle,1825 Queen Anne Ave N,[u'Restaurants']
D9vek2JvbXLwCVIfxmp2mg,Julia's of Wallingford,2.5,118,Seattle,4401 Wallingford Ave N,"[u'American (Traditional)', u'Breakfast & Brunch', u'Vegetarian', u'Restaurants']"
vfeVz1dx_IEHp8T7dHyMow,Juliano's,3,2,Seattle,8335 15th Ave NW,"[u'Pizza', u'Restaurants']"
2yWvq5vmUdSarODccwELkg,Julia's on Broadway,2.5,230,Seattle,300 Broadway E,"[u'Breakfast & Brunch', u'Performing Arts', u'American (New)', u'Arts & Entertainment', u'Restaurants']"
03YepVvKHlfORsTGYUbOjA,Juliano's,3.5,65,Seattle,8335 15th Ave NW,"[u'Pizza', u'Gluten-Free', u'Restaurants']"
yNHvaGHci6sfF_ayn40KnQ,Julie's Garden,4,80,Seattle,81 Yesler Way,"[u'Vietnamese', u'Chinese', u'Restaurants']"
KjWpvRkblHNvrSArdyX7Yw,Jumbo Buffet,2.5,11,Seattle,10242 16th Ave SW,"[u'Buffets', u'Chinese', u'Restaurants']"
_OYfJb1Tn2gg_R3KBjj0Yw,John's Deli Market,5,1,Seattle,6538 4th Ave S,"[u'Food', u'Grocery', u'Delis', u'Restaurants']"
T2VscEbB4o3Hfykzw0Fuow,John's Corner Deli Grocery,2.5,3,Seattle,7500 35th Ave SW,"[u'Food', u'Grocery', u'Delis', u'Restaurants']"
Yd_Pqr8apK8xhqeql259JA,John's Wok on Western,4,8,Seattle,1100 Western Ave,"[u'Food', u'Convenience Stores', u'Restaurants']"
Z4YY6zKOxlgvCJvDm5ZvLA,Johnny Rockets,3,3,Seattle,2710 NE University Village,"[u'American (Traditional)', u'Burgers', u'Sandwiches', u'Restaurants']"
Q4yey02XkPFwc1EpHZUSWA,Johnny Rockets,2,5,Seattle,107 Pike St,[u'Restaurants']
RAp01VpaSaPzdB_G3_sSog,Johnny's American & Mediterranean Cuisine,3.5,4,Seattle,5259 University Way N.E.,"[u'American (Traditional)', u'Greek', u'Mediterranean', u'Restaurants']"
8uUPSpprHW0MccpbniFLnA,Johnny Rockets,2,70,Seattle,600 Pine St,"[u'American (Traditional)', u'Burgers', u'Sandwiches', u'Restaurants']"
5o_6Fheg571T6K7LIRtIrw,Johnny Rockets,2,34,Seattle,2710 NE University Village Mall,"[u'American (Traditional)', u'Burgers', u'Sandwiches', u'Restaurants']"
Bqi42cwovYYlI4hGy-xhaQ,JoJo's Teriyaki,3,1,Seattle,1631 East Olive Way,[u'Restaurants']
A9vU7J-GUs3lQBi69_z_Zg,Joko's Indonesian Kitchen,3,101,Seattle,910 NE 65th St,"[u'Indonesian', u'Restaurants']"
lmZy4-dJ72eMvXyiFe9-NA,Jones Barbeque,3,36,Seattle,4417 Fauntleroy Way SW,"[u'Barbeque', u'Restaurants']"
tC3J0kq_T-7ZINOJPSTWlA,Jones Barbeque,3.5,118,Seattle,3810 S Ferdinand St,"[u'Barbeque', u'Soul Food', u'Restaurants']"
X0aWKjT1XtE210rt16P2sA,Jones Original Barbeque,3.5,38,Seattle,2454 Occidental Ave,"[u'Food', u'Barbeque', u'Meat Shops', u'Specialty Food', u'Restaurants']"
UGsl9R8roiWL3Ty93SQ6Dg,Jonny Boston's,3,35,Seattle,4151 California Ave SW,"[u'Burgers', u'Cheesesteaks', u'Sandwiches', u'Restaurants']"
6eGjl4o5KtnpXBwhVesWdA,Josefina's Mexican Grill,4,50,Seattle,2818 Thorndyke Ave W,"[u'Mexican', u'Restaurants']"
fRhv1UnxqlVK2BP4EB5Fuw,Jimmy John's,3.5,5,Seattle,1629 6th Ave,"[u'Sandwiches', u'Restaurants']"
6zEafq6TOXq2HKk1MPsWSw,Jimmy John's,3.5,23,Seattle,1940 1st Ave S,"[u'Delis', u'Sandwiches', u'Restaurants']"
VGZrvoaF9UH9S9KP-u3F5g,Jimmy John's,4,36,Seattle,370 Westlake Ave N,"[u'Delis', u'Sandwiches', u'Restaurants']"
BQZo7RKcCN7hszySqKZ-iw,Jimmy John's,4,26,Seattle,13242 Aurora Ave N,"[u'Delis', u'Sandwiches', u'Restaurants']"
