address,city,zip,tract
429 WESTLAKE AVE N,seattle,98109,72
4300 LEARY WAY NW,seattle,98107,48
4301 INTERLAKE AVE N,seattle,98103,50
4301 LEARY WAY NW,seattle,98107,48
4302 FREMONT AVE N,seattle,98103,49
4307 FREMONT AVE N,seattle,98103,49
4309 S HENDERSON ST,seattle,98118,117
432 BROADWAY AVE E,seattle,98102,75
4333 UNIVERSITY WAY NE,seattle,98105,53.01
4336 ROOSEVELT WAY NE #D/E,seattle,98105,53.01
4343 UNIVERSITY WAY NE,seattle,98105,53.01
4401 4TH AVE S,seattle,98134,93
4401 WALLINGFORD AVE N,seattle,98103,50
4411 STONE WAY N,seattle,98103,50
4433 S GRAHAM ST,seattle,98118,111.02
4435 CALIFORNIA AVE SW,seattle,98116,98
4437 CALIFORNIA AVE SW,seattle,98116,98
4449 CALIFORNIA AVE SW,seattle,98116,98
4458 CALIFORNIA AVE SW,seattle,98116,98
446 TERRY AVE N,seattle,98109,73
4501 INTERLAKE AVE N,seattle,98103,50
4505 39TH AVE SW,seattle,98126,78
4509 CALIFORNIA AVE SW,seattle,98116,105
4510 CALIFORNIA AVE SW,seattle,98116,105
4512 CALIFORNIA AVE SW,seattle,98116,105
4515 UNIVERSITY WAY NE,seattle,98105,53.01
4537 UNIVERSITY WAY NE,seattle,98105,53.01
4539 CALIFORNIA AVE SW,seattle,98116,105
4541 UNIVERSITY WAY NE,seattle,98105,53.01
4542 CALIFORNIA AVE SW,seattle,98116,105
4543 UNIVERSITY WAY NE,seattle,98105,53.01
4546 CALIFORNIA AVE SW,seattle,98116,105
4548 CALIFORNIA AVE SW,seattle,98116,105
4559 CALIFORNIA AVE SW,seattle,98116,105
